date,id,tweet
Sun Dec 29 07:42:04 +0000 2019,72898202,#Antioch #Highway4 A 2 car crash partly blocks the Hillcrest Avenue offramp from Westbound 4. #KCBSTraffic #Waze
Sun Dec 29 07:22:40 +0000 2019,72898202,#BART BART is reporting a minor delay. #KCBSTraffic
Sun Dec 29 06:50:01 +0000 2019,72898202,#SantaClara Southbound #US101 off-ramp to Great America Parkway. Two car accident blocking the exit ramp. #KCBSTraffic
Sun Dec 29 06:05:38 +0000 2019,72898202,#Hayward Northbound #I880 before Winton Ave. Watch out for a mattress in the right lane. #KCBSTraffic
Sun Dec 29 05:12:37 +0000 2019,72898202,#SanFrancisco Westbound #I80 before 5th St. Injury accident blocking the two right lanes. Delays onto the Bay Bridge from almost Yerba Buena Island. #KCBSTraffic
Sun Dec 29 05:03:53 +0000 2019,72898202,#SanFrancisco Westbound #I80 before 5th St. Injury accident blocking ALL lanes. Delays from before the Fremont St exit. #KCBSTraffic
Sun Dec 29 04:59:57 +0000 2019,72898202,#SanFrancisco Westbound #I80 before 5th St. Injury accident blocking the two left lanes. Delays from before the Fremont St exit. #KCBSTraffic
Sun Dec 29 04:24:07 +0000 2019,72898202,#Bart Delay! #KCBSTraffic
Sun Dec 29 04:21:57 +0000 2019,72898202,#WalnutCreek Southbound #I680 on-ramp to Westbound #SR24. Two car crash; one car went off the roadway. #KCBSTraffic
Sun Dec 29 04:06:14 +0000 2019,72898202,#SanFrancisco Westbound #I80 past 5th St. Accident reported. CHP is on the way. Traffic is slow from the Fremont St exit. #KCBSTraffic
Sun Dec 29 03:30:30 +0000 2019,72898202,#SanFrancisco 80 EB Slow traffic coming off the #BayBridge from just after Yerba Buena Island to the 101 split. #Waze #KCBSTraffic
Sun Dec 29 03:13:21 +0000 2019,72898202,#UPDATE 280 NB All Lanes Open before 11th St. #SanJose #KCBSTraffic
Sun Dec 29 02:53:58 +0000 2019,72898202,#SanJose 280 NB a 4 car crash before 11th St blocking the right lane... Traffic backing up to McLaughlin Ave. #Waze #KCBSTraffic
Sun Dec 29 02:37:17 +0000 2019,72898202,#PaloAlto 101 NB Crash just past Embarcadero Rd blocking the right lane... Slow from before Oregon Expy. #Waze #MntView #LosAltos #KCBSTraffic
